ID,name,smiles,lgK,delta,ref_num,doi
85,DTPA-BtBA,CC(C)(C)NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NC(C)(C)C)CC(=O)O)CC(=O)O,17.15,,65,10.1039/a605483h
86,DTPA-BBA,O=C(O)CN(CCN(CC(=O)O)CC(=O)NCc1ccccc1)CCN(CC(=O)O)CC(=O)NCc1ccccc1,16.48,0.05,65,10.1039/a605483h
87,DTPA-BAdA,O=C(O)CN(CCN(CC(=O)O)CC(=O)NC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3)CCN(CC(=O)O)CC(=O)NC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3,16.85,0.03,67,10.1016/s0277-5387(97)00476-2
88,DTPA-BMEA DTPA-MEA2,COCCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCCOC)CC(=O)O)CC(=O)O,16.48,,66,10.1097/00004424-199009001-00026
88,DTPA-BMEA DTPA-MEA2,COCCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCCOC)CC(=O)O)CC(=O)O,16.84,0.28,68,10.1016/s0020-1693(96)05522-3
88,DTPA-BMEA DTPA-MEA2,COCCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCCOC)CC(=O)O)CC(=O)O,16.84,0.28,69,10.1097/00004424-199111001-00074
89,DTPA-BMBA,COc1ccccc1CNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCc1ccccc1OC)CC(=O)O)CC(=O)O,16.82,0.04,67,10.1016/s0277-5387(97)00476-2
90,DTPA-BMPEA,COc1ccccc1CCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCCc1ccccc1OC)CC(=O)O)CC(=O)O,16.91,0.03,67,10.1016/s0277-5387(97)00476-2
91,DTPA-BDA,O=C(O)CN(CCN(CC(=O)O)CC(=O)NCCN(CCO)CCO)CCN(CC(=O)O)CC(=O)NCCN(CCO)CCO,16.7,,70,10.1097/00004424-199111001-00074
92,DTPA-B(BbuA),CCCCN(CCCC)C(=O)CN(CCN(CCN(CC(=O)O)CC(=O)N(CCCC)CCCC)CC(=O)O)CC(=O)O,19,0.03,63,10.1039/b514173g
93,DTPA-BMMEA,COCCN(C)C(=O)CN(CCN(CCN(CC(=O)O)CC(=O)N(C)CCOC)CC(=O)O)CC(=O)O,17.68,,68,10.1097/00004424-199111001-00077
93,DTPA-BMMEA,COCCN(C)C(=O)CN(CCN(CCN(CC(=O)O)CC(=O)N(C)CCOC)CC(=O)O)CC(=O)O,17.69,0.21,69,10.1016/s0020-1693(96)05522-3
94,DTPA-BMAMEA,COCCNC(=O)CN(C)C(=O)CN(CCN(CCN(CC(=O)O)CC(=O)N(C)CC(=O)NCCOC)CC(=O)O)CC(=O)O,17.1,,70,10.1097/00004424-199111001-00074
95,DTPA-BDMEA,COCCN(CCOC)C(=O)CN(CCN(CCN(CC(=O)O)CC(=O)N(CCOC)CCOC)CC(=O)O)CC(=O)O,19.2,,70,10.1097/00004424-199111001-00074
96,DTPA-BHMEA,COCCN(CCO)C(=O)CN(CCN(CCN(CC(=O)O)CC(=O)N(CCO)CCOC)CC(=O)O)CC(=O)O,17.49,0.14,68,10.1016/s0020-1693(96)05522-3
96,DTPA-BHMEA,COCCN(CCO)C(=O)CN(CCN(CCN(CC(=O)O)CC(=O)N(CCO)CCOC)CC(=O)O)CC(=O)O,17.49,0.14,69,10.1097/00004424-199111001-00074
97,DTPA-BP,O=C(O)CN(CCN(CC(=O)O)Cc1ccccn1)CCN(CC(=O)O)Cc1ccccn1,16.83,0.11,64,10.1016/0730-725x(90)90055-7
98,DTTA-HP,Cc1ccc(O)c(CN(CCN(CCN(CC(=O)O)Cc2nc(C)ccc2O)CC(=O)O)CC(=O)O)n1,23.65,,9,10.1016/0730-725x(92)90444-5
