ID,sourceID,smiles,doi,source,lgK
rev_028,28,C[C@@H](C(=O)O)N1CCN(CC(=O)O)[C@@H](Cc2ccc([N+](=O)[O-])cc2)CN([C@@H](C)C(=O)O)CCN([C@@H](C)C(=O)O)CC1,10.1021/ic2012843,dioury2014,21.53
rev_166,A30,O=C(O)CN(CCN(CCN(CC(=O)O)C(COCc1ccccc1)C(=O)O)C(COCc1ccccc1)C(=O)O)C(COCc1ccccc1)C(=O)O,10.1016/S0010-8545(99)00237-4,uzal2022,22.18
rev_016,16,O=C(O)CN1CCNC(=O)CN(CC(=O)O)CCN(CC(=O)O)CC(=O)NCC1,10.1021/ic00091a032,dioury2014,15.3
rev_099,99,CN(CCN(CCN(C)CC(=O)O)CC(=O)O)CC(=O)O,10.1021/ic00110a019,dioury2014,13.12
rev_190,B4,O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)C(Cc2ccc([N+](=O)[O-])cc2)CN(CC(=O)O)CC1,10.1021/ic0353007,uzal2022,24.2
rev_113,113,O=C(O)CCN(CCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,10.1021/ic00213a019,dioury2014,15.21
rev_207,B40,O=C(O)CN1CCN(Cc2cccc(C(=O)O)n2)Cc2cccc(n2)CN(Cc2cccc(C(=O)O)n2)CC1,10.1021/acs.inorgchem.8b00598,uzal2022,23.56
rev_171,A44,CC(C)NC(=O)CN(CCN(CC(=O)O)CC(=O)NC(C)C)CC(=O)O,10.1016/S0277-5387(98)00273-3,uzal2022,12.79
rev_056,56,O=C(O)CCN1CCN(Cc2cccc(C(=O)O)n2)CCN(Cc2cccc(C(=O)O)n2)CC1,10.1039/b907738c,dioury2014,15.1
rev_136,136,CN(CC(O)C(O)C(O)C(O)CO)C(=O)C(COCc1ccccc1)N1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,10.1021/ic00038a023,dioury2014,26.4
rev_074,74,CCN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,10.1021/ic00212a005,dioury2014,17.79
rev_227,T12,CCCCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O,10.1039/C7DT04104G,uzal2022,18.78
